1526394559.900192391	109	40	48	0	1	1	2	-79	35394	4	4	1596	1478	175,5,175,5
1526394559.900238079	109	40	48	0	1	1	2	-79	35394	4	4	1596	1478	175,5,175,5
1526394559.900248372	109	40	48	0	1	1	2	-79	35394	4	4	1596	1478	175,5,175,5
1526394559.900255997	109	40	48	0	1	1	2	-79	35394	4	4	1596	1478	175,5,175,5
1526394559.900264698	109	40	48	0	1	1	2	-79	35394	4	4	1596	1478	175,5,175,5
1526394559.900272241	109	40	48	0	1	1	2	-79	35394	4	4	1596	1478	175,5,175,5
1526394559.900280509	109	40	48	0	1	1	2	-79	35394	4	4	1596	1478	175,5,175,5
1526394559.900287706	109	40	48	0	1	1	2	-79	35394	4	4	1596	1478	175,5,175,5
1526394559.908893335	153	40	48	0	2	0	2	-80	35396	3	1	1596	1478	108,108
1526394559.914466767	153	40	48	0	2	0	2	-79	35397	3	1	1596	1478	108,108
1526394559.926347896	153	40	48	0	2	0	2	-79	35398	3	1	1596	1478	108,108
1526394559.938396110	153	40	48	0	2	0	2	-79	35400	3	1	1596	1478	108,108
1526394559.951133510	153	40	48	0	2	0	2	-79	35402	3	1	1596	1478	108,108
1526394559.963341772	153	40	48	0	1	1	2	-78	35404	5	1	1596	1478	108,108
1526394559.973421112	153	40	48	0	1	1	2	-78	35405	5	1	1596	1478	108,108
1526394559.985184351	153	40	48	0	1	1	2	-78	35406	5	1	1596	1478	108,108
1526394559.996926582	153	40	48	0	1	1	2	-78	35407	5	1	1596	1478	108,108
1526394560.008698470	144	40	48	0	1	1	2	-78	35408	3	4	1596	1478	117,117
1526394560.021848973	109	40	60	0	2	0	2	-79	35409	2	4	1596	1478	175,5,175,5
1526394560.032154300	109	40	60	0	2	0	2	-78	35410	2	4	1596	1478	175,5,175,5
1526394560.043906012	109	40	60	0	2	0	2	-78	35411	2	4	1596	1478	175,5,175,5
1526394560.055595596	109	40	60	0	2	0	2	-79	35412	2	4	1596	1478	175,5,175,5
1526394560.067467483	109	40	60	0	2	0	2	-78	35413	2	4	1596	1478	175,5,175,5
1526394560.079199276	109	40	60	0	2	0	2	-79	35414	2	4	1596	1478	175,5,175,5
1526394560.090960770	109	40	60	0	2	0	2	-78	35415	2	4	1596	1478	175,5,175,5
1526394560.102722592	109	40	60	0	2	0	2	-78	35416	2	4	1596	1478	175,5,175,5
1526394560.114842182	109	40	60	0	2	0	2	-78	35417	2	4	1596	1478	175,5,175,5
1526394560.126241356	109	40	60	0	2	0	2	-78	35418	2	4	1596	1478	175,5,175,5
1526394560.138001750	109	40	60	0	2	0	2	-78	35419	2	4	1596	1478	175,5,175,5
1526394560.149756198	109	40	60	0	2	0	2	-77	35420	2	4	1596	1478	175,5,175,5
1526394560.161506025	92	40	48	0	1	1	2	-77	35421	5	4	1596	1478	234,234
1526394560.173188542	92	40	48	0	1	1	2	-77	35422	5	4	1596	1478	234,234
1526394560.186394775	109	40	48	0	1	1	2	-77	35424	4	4	1596	1478	175,5,175,5
1526394560.196718744	109	40	48	0	1	1	2	-77	35425	4	4	1596	1478	175,5,175,5
1526394560.208462170	109	40	48	0	1	1	2	-77	35426	4	4	1596	1478	175,5,175,5
1526394560.220303834	109	40	48	0	1	1	2	-77	35427	4	4	1596	1478	175,5,175,5
1526394560.232076801	109	40	48	0	1	1	2	-76	35428	4	4	1596	1478	175,5,175,5
1526394560.243845832	109	40	48	0	1	1	2	-76	35429	4	4	1596	1478	175,5,175,5
1526394560.255595925	109	40	48	0	1	1	2	-75	35430	4	4	1596	1478	175,5,175,5
1526394560.267373407	109	40	48	0	1	1	2	-75	35431	4	4	1596	1478	175,5,175,5
1526394560.279101376	92	40	48	0	1	1	2	-75	35432	5	4	1596	1478	234,234
1526394560.292029082	92	40	48	0	1	1	2	-75	35436	5	4	1596	1478	234,234
1526394560.304253149	109	40	48	0	1	1	2	-76	35439	4	4	1596	1478	175,5,175,5
1526394560.314324950	109	40	48	0	1	1	2	-75	35440	4	4	1596	1478	175,5,175,5
1526394560.326066674	109	40	48	0	1	1	2	-75	35441	4	4	1596	1478	175,5,175,5
1526394560.337799472	109	40	48	0	1	1	2	-75	35442	4	4	1596	1478	175,5,175,5
1526394560.349559773	109	40	48	0	1	1	2	-75	35443	4	4	1596	1478	175,5,175,5
1526394560.361410374	109	40	48	0	1	1	2	-74	35444	4	4	1596	1478	175,5,175,5
1526394560.373211226	109	40	48	0	1	1	2	-74	35445	4	4	1596	1478	175,5,175,5
1526394560.384944500	109	40	48	0	1	1	2	-75	35446	4	4	1596	1478	175,5,175,5
1526394560.396706249	92	40	48	0	1	1	2	-75	35447	5	4	1596	1478	234,234
1526394560.408400152	92	40	48	0	1	1	2	-75	35448	5	4	1596	1478	234,234
1526394560.420204901	92	40	48	0	1	1	2	-74	35449	5	4	1596	1478	234,234
1526394560.431994379	92	40	48	0	1	1	2	-74	35450	5	4	1596	1478	234,234
1526394560.443770573	92	40	48	0	1	1	2	-74	35451	5	4	1596	1478	234,234
1526394560.455918429	92	40	48	0	1	1	2	-75	35453	5	4	1596	1478	234,234
1526394560.467204052	92	40	48	0	1	1	2	-75	35454	5	4	1596	1478	234,234
1526394560.478813180	92	40	48	0	1	1	2	-75	35455	5	4	1596	1478	234,234
1526394560.490708719	92	40	48	0	1	1	2	-74	35456	5	4	1596	1478	234,234
1526394560.502896269	92	40	48	0	1	1	2	-74	35457	5	4	1596	1478	234,234
1526394560.514314195	92	40	48	0	1	1	2	-75	35458	5	4	1596	1478	234,234
